x	N7
0	0
0.5	0.000128909
1	0.000537238
1.5	0.00125833
2	0.00230666
2.5	0.00368476
3	0.00538635
3.5	0.00739976
4	0.00971028
4.5	0.0123018
5	0.015158
5.5	0.0182629
6	0.0216013
6.5	0.0251588
7	0.0289221
7.5	0.032879
8	0.0370182
8.5	0.0413291
9	0.0458023
9.5	0.0504289
10	0.0552007
54.875	0.124827
99.75	0.15948
144.625	0.182288
189.5	0.199223
234.375	0.212595
279.25	0.22353
324.125	0.232665
369	0.240402
413.875	0.247015
458.75	0.252701
503.625	0.257612
548.5	0.261867
593.375	0.265561
638.25	0.268774
683.125	0.271572
728	0.274011
772.875	0.276138
817.75	0.277995
862.625	0.279617
907.5	0.281035
952.375	0.282273
997.25	0.283356
1042.13	0.284304
1087	0.285132
1131.88	0.285857
1176.75	0.286491
1221.63	0.287046
1266.5	0.287532
1311.38	0.287957
1356.25	0.288329
1401.13	0.288655
1446	0.28894
1490.88	0.28919
1535.75	0.289409
1580.63	0.289601
1625.5	0.289769
1670.38	0.289916
1715.25	0.290044
1760.13	0.290157
1805	0.290256
1849.88	0.290342
1894.75	0.290418
1939.63	0.290484
1984.5	0.290542
2029.38	0.290593
2074.25	0.290638
2119.13	0.290677
2164	0.290711
2208.88	0.290741
2253.75	0.290767
2298.63	0.29079
2343.5	0.29081
2388.38	0.290828
2433.25	0.290843
2478.13	0.290857
2523	0.290869
2567.88	0.290879
2612.75	0.290888
2657.63	0.290896
2702.5	0.290903
2747.38	0.290909
2792.25	0.290915
2837.13	0.290919
2882	0.290923
2926.88	0.290927
2971.75	0.29093
3016.63	0.290933
3061.5	0.290935
3106.38	0.290937
3151.25	0.290939
3196.13	0.290941
3241	0.290942
3285.88	0.290944
3330.75	0.290945
3375.63	0.290946
3420.5	0.290946
3465.38	0.290947
3510.25	0.290948
3555.13	0.290948
3600	0.290949

