x	N1405
0	0
0.5	-0.00195302
1	-0.00777814
1.5	-0.0173199
2	-0.0303213
2.5	-0.046489
3	-0.0655029
3.5	-0.0870397
4	-0.110791
4.5	-0.136472
5	-0.163832
5.5	-0.192647
6	-0.222724
6.5	-0.253899
7	-0.286029
7.5	-0.318993
8	-0.352688
8.5	-0.387025
9	-0.421928
9.5	-0.457333
10	-0.493185
54.875	-0.507171
99.75	-0.488096
144.625	-0.451947
189.5	-0.408776
234.375	-0.36465
279.25	-0.322712
324.125	-0.284323
369	-0.249885
413.875	-0.219329
458.75	-0.19238
503.625	-0.168687
548.5	-0.147891
593.375	-0.129654
638.25	-0.113665
683.125	-0.09965
728	-0.0873643
772.875	-0.076594
817.75	-0.0671516
862.625	-0.0588728
907.5	-0.0516139
952.375	-0.0452489
997.25	-0.0396678
1042.13	-0.034774
1087	-0.0304806
1131.88	-0.0267197
1176.75	-0.0234217
1221.63	-0.0205299
1266.5	-0.0179943
1311.38	-0.0157713
1356.25	-0.0138223
1401.13	-0.0121137
1446	-0.010616
1490.88	-0.00930303
1535.75	-0.0081522
1580.63	-0.00714351
1625.5	-0.00625944
1670.38	-0.00548462
1715.25	-0.00480559
1760.13	-0.00421052
1805	-0.00368906
1849.88	-0.00323211
1894.75	-0.0028317
1939.63	-0.00248086
1984.5	-0.00217344
2029.38	-0.00190409
2074.25	-0.0016681
2119.13	-0.00146134
2164	-0.00128019
2208.88	-0.00112148
2253.75	-0.000982438
2298.63	-0.000860627
2343.5	-0.000753913
2388.38	-0.000660426
2433.25	-0.000578527
2478.13	-0.000506782
2523	-0.000443931
2567.88	-0.000388873
2612.75	-0.000340641
2657.63	-0.000298391
2702.5	-0.00026138
2747.38	-0.000228958
2792.25	-0.000200558
2837.13	-0.00017568
2882	-0.000153887
2926.88	-0.000134798
2971.75	-0.000118076
3016.63	-0.000103428
3061.5	-9.05973e-05
3106.38	-7.93581e-05
3151.25	-6.95131e-05
3196.13	-6.08894e-05
3241	-5.33355e-05
3285.88	-4.67186e-05
3330.75	-4.09226e-05
3375.63	-3.58456e-05
3420.5	-3.13985e-05
3465.38	-2.75031e-05
3510.25	-2.40909e-05
3555.13	-2.11021e-05
3600	-1.8484e-05
