x	N7
0	0
0.5	0.000111882
1	0.000474648
1.5	0.00113062
2	0.0021013
2.5	0.00339451
3	0.00500822
3.5	0.00693397
4	0.00915933
4.5	0.0116698
5	0.0144499
5.5	0.0174841
6	0.0207574
6.5	0.0242553
7	0.0279645
7.5	0.0318721
8	0.0359666
8.5	0.0402372
9	0.0446737
9.5	0.0492671
10	0.0540088
54.875	0.124551
99.75	0.159128
144.625	0.181867
189.5	0.19876
234.375	0.212104
279.25	0.223019
324.125	0.23214
369	0.239865
413.875	0.246469
458.75	0.252148
503.625	0.257054
548.5	0.261303
593.375	0.264994
638.25	0.268203
683.125	0.270999
728	0.273435
772.875	0.275561
817.75	0.277417
862.625	0.279038
907.5	0.280455
952.375	0.281693
997.25	0.282775
1042.13	0.283721
1087	0.284549
1131.88	0.285274
1176.75	0.285908
1221.63	0.286463
1266.5	0.286949
1311.38	0.287374
1356.25	0.287746
1401.13	0.288072
1446	0.288358
1490.88	0.288608
1535.75	0.288827
1580.63	0.289019
1625.5	0.289186
1670.38	0.289334
1715.25	0.289462
1760.13	0.289575
1805	0.289674
1849.88	0.28976
1894.75	0.289836
1939.63	0.289903
1984.5	0.289961
2029.38	0.290012
2074.25	0.290056
2119.13	0.290095
2164	0.29013
2208.88	0.29016
2253.75	0.290186
2298.63	0.290209
2343.5	0.290229
2388.38	0.290247
2433.25	0.290262
2478.13	0.290276
2523	0.290288
2567.88	0.290298
2612.75	0.290307
2657.63	0.290315
2702.5	0.290322
2747.38	0.290328
2792.25	0.290334
2837.13	0.290338
2882	0.290342
2926.88	0.290346
2971.75	0.290349
3016.63	0.290352
3061.5	0.290354
3106.38	0.290356
3151.25	0.290358
3196.13	0.29036
3241	0.290361
3285.88	0.290363
3330.75	0.290364
3375.63	0.290365
3420.5	0.290366
3465.38	0.290366
3510.25	0.290367
3555.13	0.290367
3600	0.290368
