x	N3145
0	0
0.5	-0.00195044
1	-0.0077549
1.5	-0.0172669
2	-0.0302515
2.5	-0.0464142
3	-0.065432
3.5	-0.0869783
4	-0.110741
4.5	-0.136435
5	-0.163804
5.5	-0.192624
6	-0.222702
6.5	-0.253871
7	-0.285992
7.5	-0.318942
8	-0.352619
8.5	-0.386936
9	-0.421819
9.5	-0.457204
10	-0.493036
54.875	-0.506709
99.75	-0.487148
144.625	-0.450664
189.5	-0.407375
234.375	-0.36328
279.25	-0.321447
324.125	-0.283192
369	-0.248891
413.875	-0.218463
458.75	-0.191629
503.625	-0.168038
548.5	-0.147332
593.375	-0.129172
638.25	-0.11325
683.125	-0.0992925
728	-0.0870565
772.875	-0.0763291
817.75	-0.0669237
862.625	-0.0586768
907.5	-0.0514454
952.375	-0.0451042
997.25	-0.0395395
1042.13	-0.0346662
1087	-0.0303921
1131.88	-0.0266437
1176.75	-0.0233566
1221.63	-0.0204742
1266.5	-0.0179467
1311.38	-0.0157306
1356.25	-0.0137875
1401.13	-0.012084
1446	-0.0105906
1490.88	-0.00928139
1535.75	-0.00813376
1580.63	-0.0071278
1625.5	-0.00624606
1670.38	-0.00547325
1715.25	-0.00479593
1760.13	-0.00420232
1805	-0.0036821
1849.88	-0.00322622
1894.75	-0.00282672
1939.63	-0.00247665
1984.5	-0.00216989
2029.38	-0.0019011
2074.25	-0.00166558
2119.13	-0.00145922
2164	-0.00127841
2208.88	-0.00112
2253.75	-0.0009812
2298.63	-0.000859596
2343.5	-0.000753057
2388.38	-0.000659717
2433.25	-0.000577943
2478.13	-0.000506301
2523	-0.000443537
2567.88	-0.000388552
2612.75	-0.000340382
2657.63	-0.000298182
2702.5	-0.000261213
2747.38	-0.000228827
2792.25	-0.000200455
2837.13	-0.000175601
2882	-0.000153827
2926.88	-0.000134754
2971.75	-0.000118045
3016.63	-0.000103407
3061.5	-9.05847e-05
3106.38	-7.9352e-05
3151.25	-6.95121e-05
3196.13	-6.08923e-05
3241	-5.33413e-05
3285.88	-4.67267e-05
3330.75	-4.09322e-05
3375.63	-3.58563e-05
3420.5	-3.14098e-05
3465.38	-2.75147e-05
3510.25	-2.41026e-05
3555.13	-2.11136e-05
3600	-1.84953e-05
