x	N5
0	0
0.5	1.31007e-05
1	5.8679e-05
1.5	0.00014727
2	0.000286129
2.5	0.000480317
3	0.000733191
3.5	0.00104675
4	0.00142192
4.5	0.00185876
5	0.00235669
5.5	0.00291364
6	0.00352874
6.5	0.00420066
7	0.00492763
7.5	0.00570776
8	0.00653914
8.5	0.00741988
9	0.00834809
9.5	0.00932193
10	0.0103396
10.5	0.0111554
11	0.0118855
11.5	0.0125587
12	0.0131892
12.5	0.0137854
13	0.014353
13.5	0.0148963
14	0.0154185
14.5	0.0159219
15	0.0164087
15.5	0.0168805
16	0.0173386
16.5	0.0177843
17	0.0182186
17.5	0.0186423
18	0.0190562
18.5	0.0194609
19	0.0198571
19.5	0.0202453
20	0.020626
20.5	0.0209996
21	0.0213665
21.5	0.0217271
22	0.0220816
22.5	0.0224305
23	0.0227738
23.5	0.023112
24	0.0234452
24.5	0.0237737
25	0.0240976
