x	N3
0	0
0.5	-0.000858212
1	-0.00342152
1.5	-0.00765667
2	-0.0135106
2.5	-0.0209135
3	-0.0297828
3.5	-0.0400271
4	-0.0515499
4.5	-0.0642532
5	-0.0780403
5.5	-0.0928175
6	-0.108496
6.5	-0.124994
7	-0.142234
7.5	-0.160145
8	-0.178665
8.5	-0.197734
9	-0.217302
9.5	-0.237321
10	-0.257749
10.5	-0.257749
11	-0.257749
11.5	-0.257749
12	-0.257749
12.5	-0.257749
13	-0.257749
13.5	-0.257749
14	-0.257749
14.5	-0.257749
15	-0.257749
15.5	-0.257749
16	-0.257749
16.5	-0.257749
17	-0.257749
17.5	-0.257749
18	-0.257749
18.5	-0.257749
19	-0.257749
19.5	-0.257749
20	-0.257749
20.5	-0.257749
21	-0.257749
21.5	-0.257749
22	-0.257749
22.5	-0.257749
23	-0.257749
23.5	-0.257749
24	-0.257749
24.5	-0.257749
25	-0.257749
