x	N7
0	0
0.1	2.68512e-06
0.2	1.19655e-05
0.3	2.99324e-05
0.4	5.81433e-05
0.5	9.78682e-05
0.6	0.000150188
0.7	0.000216044
0.8	0.000296272
0.9	0.000391614
1	0.000502743
1.1	0.00063026
1.2	0.000774712
1.3	0.000936593
1.4	0.00111635
1.5	0.00131438
1.6	0.00153105
1.7	0.00176669
1.8	0.00202157
1.9	0.00229596
2	0.00259007
2.1	0.00290411
2.2	0.00323823
2.3	0.00359258
2.4	0.00396727
2.5	0.00436239
2.6	0.00477801
2.7	0.00521418
2.8	0.00567091
2.9	0.00614823
3	0.00664611
3.1	0.00716454
3.2	0.00770346
3.3	0.00826282
3.4	0.00884255
3.5	0.00944257
3.6	0.0100628
3.7	0.0107031
3.8	0.0113633
3.9	0.0120434
4	0.0127431
4.1	0.0134624
4.2	0.0142011
4.3	0.0149591
4.4	0.0157361
4.5	0.0165319
4.6	0.0173465
4.7	0.0181797
4.8	0.0190311
4.9	0.0199008
5	0.0207883
