x	N1
0	0
0.1	-3.4334e-05
0.2	-0.0001374
0.3	-0.000309257
0.4	-0.000549851
0.5	-0.000859067
0.6	-0.00123675
0.7	-0.0016827
0.8	-0.00219671
0.9	-0.00277852
1	-0.00342783
1.1	-0.00414433
1.2	-0.00492767
1.3	-0.00577746
1.4	-0.00669328
1.5	-0.00767468
1.6	-0.0087212
1.7	-0.00983233
1.8	-0.0110075
1.9	-0.0122463
2	-0.013548
2.1	-0.014912
2.2	-0.0163378
2.3	-0.0178246
2.4	-0.0193719
2.5	-0.0209789
2.6	-0.022645
2.7	-0.0243694
2.8	-0.0261515
2.9	-0.0279904
3	-0.0298855
3.1	-0.031836
3.2	-0.0338412
3.3	-0.0359002
3.4	-0.0380123
3.5	-0.0401767
3.6	-0.0423927
3.7	-0.0446594
3.8	-0.0469761
3.9	-0.049342
4	-0.0517563
4.1	-0.0542182
4.2	-0.0567269
4.3	-0.0592816
4.4	-0.0618817
4.5	-0.0645262
4.6	-0.0672145
4.7	-0.0699457
4.8	-0.0727191
4.9	-0.075534
5	-0.0783896
