x	N7
0	0
1	0.108658
1.95351	0.109839
2.91632	0.11081
3.88656	0.111633
4.86276	0.112353
5.84372	0.112999
6.82848	0.113593
7.81629	0.114149
8.80655	0.114678
9.79875	0.115186
10	0.115289
60	0.132668
110	0.147645
160	0.160357
210	0.171342
260	0.181014
310	0.189661
360	0.197488
410	0.204643
460	0.211238
510	0.217357
560	0.223067
610	0.228423
660	0.233466
710	0.238233
760	0.242753
810	0.247051
860	0.25115
910	0.255067
960	0.258818
1010	0.262417
1060	0.265876
1110	0.269207
1160	0.272417
1210	0.275517
1260	0.278514
1310	0.281414
1360	0.284224
1410	0.286949
1460	0.289594
1510	0.292165
1560	0.294666
1610	0.297099
1660	0.29947
1710	0.301781
1760	0.304035
1810	0.306235
1860	0.308384
1910	0.310485
1960	0.312539
2010	0.314549
2060	0.316517
2110	0.318444
2160	0.320332
2210	0.322184
2260	0.324
2310	0.325782
2360	0.327531
2410	0.329249
2460	0.330936
2510	0.332595
