x	N7
0	0
0.2	0.268361
0.4	0.348478
0.6	0.395728
0.8	0.428608
1	0.453249
1.2	0.472448
1.4	0.487741
1.6	0.500087
1.8	0.510136
2	0.518362
2.2	0.525119
2.4	0.530685
2.6	0.535278
2.8	0.539074
3	0.542215
3.2	0.544816
3.4	0.546972
3.6	0.548759
3.8	0.550241
4	0.551472
4.2	0.552494
4.4	0.553342
4.6	0.554047
4.8	0.554632
5	0.555119
5.2	0.555523
5.4	0.555859
5.6	0.556139
5.8	0.556371
6	0.556564
6.2	0.556725
6.4	0.556859
6.6	0.55697
6.8	0.557062
7	0.557139
7.2	0.557203
7.4	0.557256
7.6	0.5573
7.8	0.557337
8	0.557367
8.2	0.557393
8.4	0.557414
8.6	0.557432
8.8	0.557446
9	0.557458
9.2	0.557468
9.4	0.557477
9.6	0.557484
9.8	0.55749
10	0.557495
