x	N1
0	0
0.2	-0.131936
0.4	-0.133436
0.6	-0.134559
0.8	-0.135474
1	-0.136235
1.2	-0.136862
1.4	-0.137355
1.6	-0.13771
1.8	-0.137919
2	-0.137973
2.2	-0.137869
2.4	-0.137605
2.6	-0.13718
2.8	-0.136601
3	-0.135873
3.2	-0.135006
3.4	-0.13401
3.6	-0.132896
3.8	-0.131674
4	-0.130357
4.2	-0.128956
4.4	-0.12748
4.6	-0.125941
4.8	-0.124346
5	-0.122706
5.2	-0.121028
5.4	-0.119319
5.6	-0.117585
5.8	-0.115833
6	-0.114069
6.2	-0.112295
6.4	-0.110518
6.6	-0.108741
6.8	-0.106966
7	-0.105198
7.2	-0.103438
7.4	-0.101688
7.6	-0.099952
7.8	-0.0982301
8	-0.0965242
8.2	-0.0948356
8.4	-0.0931654
8.6	-0.0915145
8.8	-0.0898837
9	-0.0882737
9.2	-0.086685
9.4	-0.085118
9.6	-0.0835732
9.8	-0.0820507
10	-0.0805507
