x	N7
0	0
0.1	6.40212e-06
0.2	2.56977e-05
0.3	5.80543e-05
0.4	0.000103617
0.5	0.000162509
0.6	0.000234835
0.7	0.000320679
0.8	0.000420106
0.9	0.000533166
1	0.000659889
1.1	0.000800293
1.2	0.000954377
1.3	0.00112213
1.4	0.00130352
1.5	0.00149852
1.6	0.00170706
1.7	0.0019291
1.8	0.00216454
1.9	0.00241332
2	0.00267534
2.1	0.0029505
2.2	0.00323869
2.3	0.0035398
2.4	0.00385371
2.5	0.00418028
2.6	0.0045194
2.7	0.00487091
2.8	0.00523469
2.9	0.00561059
3	0.00599846
3.1	0.00639816
3.2	0.00680953
3.3	0.00723243
3.4	0.0076667
3.5	0.00811219
3.6	0.00856874
3.7	0.0090362
3.8	0.00951441
3.9	0.0100032
4	0.0105025
4.1	0.0110121
4.2	0.0115318
4.3	0.0120615
4.4	0.0126011
4.5	0.0131504
4.6	0.0137093
4.7	0.0142775
4.8	0.0148551
4.9	0.0154418
5	0.0160375
5.1	0.0166421
5.2	0.0172554
5.3	0.0178774
5.4	0.0185078
5.5	0.0191466
5.6	0.0197936
5.7	0.0204488
5.8	0.0211119
5.9	0.021783
6	0.0224618
6.1	0.0231482
6.2	0.0238422
6.3	0.0245436
6.4	0.0252524
6.5	0.0259684
6.6	0.0266915
6.7	0.0274217
6.8	0.0281587
6.9	0.0289026
7	0.0296533
7.1	0.0304106
7.2	0.0311744
7.3	0.0319447
7.4	0.0327214
7.5	0.0335044
7.6	0.0342936
7.7	0.035089
7.8	0.0358903
7.9	0.0366977
8	0.0375109
8.1	0.03833
8.2	0.0391548
8.3	0.0399853
8.4	0.0408214
8.5	0.041663
8.6	0.04251
8.7	0.0433625
8.8	0.0442203
8.9	0.0450833
9	0.0459515
9.1	0.0468249
9.2	0.0477033
9.3	0.0485868
9.4	0.0494752
9.5	0.0503685
9.6	0.0512666
9.7	0.0521695
9.8	0.0530771
9.9	0.0539894
10	0.0549063
