x	N1
0	0
0.1	3.41754e-05
0.2	0.000118355
0.3	0.000219458
0.4	0.000310955
0.5	0.000371671
0.6	0.000384787
0.7	0.000337046
0.8	0.000218085
0.9	1.9904e-05
1	-0.000263576
1.1	-0.000636868
1.2	-0.00110321
1.3	-0.00166482
1.4	-0.00232304
1.5	-0.00307857
1.6	-0.00393151
1.7	-0.00488155
1.8	-0.00592798
1.9	-0.00706982
2	-0.00830582
2.1	-0.00963456
2.2	-0.0110544
2.3	-0.0125638
2.4	-0.0141607
2.5	-0.0158433
2.6	-0.0176097
2.7	-0.0194578
2.8	-0.0213856
2.9	-0.023391
3	-0.0254719
3.1	-0.0276262
3.2	-0.0298518
3.3	-0.0321465
3.4	-0.0345083
3.5	-0.036935
3.6	-0.0394247
3.7	-0.0419751
3.8	-0.0445844
3.9	-0.0472504
4	-0.0499713
4.1	-0.052745
4.2	-0.0555697
4.3	-0.0584435
4.4	-0.0613645
4.5	-0.064331
4.6	-0.0673413
4.7	-0.0703935
4.8	-0.0734862
4.9	-0.0766176
5	-0.0797863
5.1	-0.0829907
5.2	-0.0862293
5.3	-0.0895009
5.4	-0.0928039
5.5	-0.0961372
5.6	-0.0994995
5.7	-0.10289
5.8	-0.106306
5.9	-0.109749
6	-0.113216
6.1	-0.116706
6.2	-0.120219
6.3	-0.123754
6.4	-0.127309
6.5	-0.130885
6.6	-0.13448
6.7	-0.138093
6.8	-0.141725
6.9	-0.145374
7	-0.149039
7.1	-0.152721
7.2	-0.156418
7.3	-0.160131
7.4	-0.163858
7.5	-0.1676
7.6	-0.171355
7.7	-0.175124
7.8	-0.178907
7.9	-0.182702
8	-0.18651
8.1	-0.190331
8.2	-0.194164
8.3	-0.198009
8.4	-0.201866
8.5	-0.205734
8.6	-0.209614
8.7	-0.213506
8.8	-0.217409
8.9	-0.221323
9	-0.225249
9.1	-0.229186
9.2	-0.233133
9.3	-0.237092
9.4	-0.241062
9.5	-0.245043
9.6	-0.249034
9.7	-0.253037
9.8	-0.25705
9.9	-0.261075
10	-0.26511
