x	N7
0	0
1	0.0433126
2	0.0440407
3	0.0449898
4	0.0460385
5	0.0471343
6	0.0482498
7	0.0493695
8	0.0504841
9	0.0515881
10	0.0526779
11	0.0537515
12	0.0548078
13	0.0558462
14	0.0568665
15	0.0578687
16	0.0588531
17	0.0598201
18	0.06077
19	0.0617033
20	0.0626205
21	0.0635221
22	0.0644085
23	0.0652802
24	0.0661377
25	0.0669816
26	0.0678121
27	0.0686298
28	0.0694351
29	0.0702283
30	0.0710099
31	0.0717803
32	0.0725397
33	0.0732886
34	0.0740272
35	0.0747559
36	0.0754749
37	0.0761847
38	0.0768853
39	0.0775771
40	0.0782604
41	0.0789353
42	0.0796021
43	0.0802611
44	0.0809123
45	0.0815561
46	0.0821927
47	0.0828221
48	0.0834447
49	0.0840605
50	0.0846698
