x	N1
0	0
1	-0.119514
2	-0.133564
3	-0.133287
4	-0.132411
5	-0.13148
6	-0.130592
7	-0.129849
8	-0.1293
9	-0.128947
10	-0.128762
11	-0.128709
12	-0.12875
13	-0.128854
14	-0.128995
15	-0.129154
16	-0.129318
17	-0.129476
18	-0.129623
19	-0.129756
20	-0.129873
21	-0.129975
22	-0.130061
23	-0.130134
24	-0.130194
25	-0.130244
26	-0.130284
27	-0.130316
28	-0.130342
29	-0.130363
30	-0.130379
31	-0.130392
32	-0.130403
33	-0.130412
34	-0.13042
35	-0.130427
36	-0.130433
37	-0.13044
38	-0.130447
39	-0.130454
40	-0.130461
41	-0.130469
42	-0.130478
43	-0.130487
44	-0.130497
45	-0.130508
46	-0.130519
47	-0.13053
48	-0.130543
49	-0.130555
50	-0.130569
